Task_ID,Machine_ID,Network_Slice_ID,Task_Type,Execution_Time,Machine_Status,Reallocation,Latency_ms,Sensor_Temp_C,URLLC_Score,Target
T0001,M04,NS_1,Drilling,10.52,Overloaded,Yes,3.71,73.9,0.98,1
T0002,M05,NS_1,Welding,10.52,Maintenance,No,3.71,73.9,0.98,1
T0003,M03,NS_3,Assembling,10.52,Overloaded,Yes,3.71,73.9,0.98,1
T0004,M05,NS_2,Cutting,10.52,Overloaded,Yes,3.71,73.9,0.98,1
T0005,M05,NS_1,Assembling,10.52,Overloaded,No,3.71,73.9,0.98,1
T0006,M02,NS_3,Drilling,10.52,Active,Yes,3.71,73.9,0.98,0
T0007,M03,NS_2,Assembling,10.52,Maintenance,No,3.71,73.9,0.98,1
T0008,M03,NS_1,Cutting,10.52,Idle,Yes,3.71,73.9,0.98,1
T0009,M03,NS_2,Assembling,10.52,Active,Yes,3.71,73.9,0.98,1
T0010,M05,NS_3,Drilling,10.52,Active,Yes,3.71,73.9,0.98,1
T0011,M04,NS_1,Welding,10.52,Active,Yes,3.71,73.9,0.98,1
T0012,M03,NS_2,Assembling,10.52,Idle,No,3.71,73.9,0.98,1
T0013,M05,NS_1,Drilling,10.52,Maintenance,Yes,3.71,73.9,0.98,1
T0014,M02,NS_2,Drilling,10.52,Maintenance,No,3.71,73.9,0.98,1
T0015,M04,NS_3,Cutting,10.52,Maintenance,Yes,3.71,73.9,0.98,1
T0016,M02,NS_3,Cutting,10.52,Overloaded,Yes,3.71,73.9,0.98,1
T0017,M04,NS_1,Assembling,10.52,Overloaded,Yes,3.71,73.9,0.98,0
T0018,M05,NS_2,Welding,10.52,Overloaded,Yes,3.71,73.9,0.98,1
T0019,M01,NS_1,Drilling,10.52,Idle,No,3.71,73.9,0.98,1
T0020,M04,NS_1,Assembling,10.52,Overloaded,No,3.71,73.9,0.98,1
T0021,M02,NS_2,Drilling,10.52,Idle,No,3.71,73.9,0.98,0
T0022,M05,NS_2,Drilling,10.52,Maintenance,No,3.71,73.9,0.98,1
T0023,M04,NS_2,Welding,10.52,Overloaded,Yes,3.71,73.9,0.98,0
T0024,M01,NS_3,Welding,10.52,Overloaded,No,3.71,73.9,0.98,1
T0025,M01,NS_1,Assembling,10.52,Active,No,3.71,73.9,0.98,1
T0026,M03,NS_1,Welding,10.52,Idle,Yes,3.71,73.9,0.98,1
T0027,M03,NS_3,Welding,10.52,Maintenance,Yes,3.71,73.9,0.98,1
T0028,M02,NS_2,Assembling,10.52,Active,Yes,3.71,73.9,0.98,1
T0029,M04,NS_3,Welding,10.52,Active,Yes,3.71,73.9,0.98,1
T0030,M04,NS_3,Cutting,10.52,Maintenance,No,3.71,73.9,0.98,1
T0031,M03,NS_3,Drilling,10.52,Active,No,3.71,73.9,0.98,1
T0032,M04,NS_1,Drilling,10.52,Idle,Yes,3.71,73.9,0.98,0
T0033,M04,NS_3,Drilling,10.52,Idle,Yes,3.71,73.9,0.98,1
T0034,M01,NS_1,Drilling,10.52,Overloaded,Yes,3.71,73.9,0.98,1
T0035,M03,NS_1,Assembling,10.52,Active,No,3.71,73.9,0.98,1
T0036,M05,NS_1,Drilling,10.52,Overloaded,No,3.71,73.9,0.98,0
T0037,M03,NS_2,Drilling,10.52,Active,Yes,3.71,73.9,0.98,1
